 ,Label,Area,Mean,IntDen,RawIntDen
1,TCFLef:back1a,42.202,15.350,647.823,12572
2,TCFLef:back1b,36.637,15.269,559.399,10856
3,TCFLef:back1c,30.454,15.687,477.725,9271
4,TCFLef:Cntl,9680.702,176.745,1711017.765,33204948
5,TCFLef:Expt,6578.759,102.563,674736.958,13094315
6,pCIG:back2a,42.202,29.261,1234.892,23965
7,pCIG:back2b,36.637,29.594,1084.222,21041
8,pCIG:back2c,30.454,28.860,878.879,17056
9,pCIG:Cntl,9680.702,158.509,1534481.885,29778996
10,pCIG:Expt,6578.759,116.413,765853.060,14862564
