 ,Label,Area,Mean,IntDen,RawIntDen
1,TCFLef:back1a,55.033,11.949,657.562,12761.000
2,TCFLef:back1b,39.729,11.726,465.874,9041.000
3,TCFLef:back1c,45.758,11.841,541.827,10515.000
4,TCFLef:Cntl,5005.218,151.100,756288.763,14676954.000
5,TCFLef:Expt,3422.092,138.279,473204.153,9183259.000
6,pCIG:back2a,55.033,27.588,1518.250,29464.000
7,pCIG:back2b,39.729,27.817,1105.142,21447.000
8,pCIG:back2c,45.758,27.918,1277.455,24791.000
9,pCIG:Cntl,5005.218,169.323,847496.278,16446977.000
10,pCIG:Expt,3422.092,189.793,649490.376,12604366.000
