 ,Label,Area,Mean,IntDen,RawIntDen
1,TCFLef:back1a,32.618,11.968,390.384,7576
2,TCFLef:back1b,39.574,11.953,473.036,9180
3,TCFLef:back1c,57.661,11.781,679.307,13183
4,TCFLef:Cntl,8578.754,103.218,885478.046,17184072
5,TCFLef:Expt,6276.284,58.594,367750.776,7136773
6,pCIG:back2a,32.618,28.096,916.443,17785
7,pCIG:back2b,39.574,28.706,1136.008,22046
8,pCIG:back2c,57.661,28.477,1642.023,31866
9,pCIG:Cntl,8578.754,194.265,1666554.628,32342072
10,pCIG:Expt,6276.284,148.671,933098.829,18108227
