 ,Label,Area,Mean,IntDen,RawIntDen
1,TCFLef:back1a,29.526,11.058,326.488,6336.000
2,TCFLef:back1b,29.062,11.200,325.509,6317.000
3,TCFLef:back1c,47.613,11.152,530.955,10304.000
4,TCFLef:Cntl,9275.065,127.658,1184035.011,22978032.000
5,TCFLef:Expt,11741.037,39.359,462113.927,8968036.000
6,pCIG:back2a,29.526,27.117,800.658,15538.000
7,pCIG:back2b,29.062,26.876,781.077,15158.000
8,pCIG:back2c,47.613,27.156,1292.966,25092.000
9,pCIG:Cntl,9275.065,189.093,1753854.184,34036255.000
10,pCIG:Expt,11741.037,113.385,1331255.013,25835064.000
