 ,Label,Area,Mean,IntDen,RawIntDen
1,TCFLef:back1a,30.608,11.719,358.693,6961.000
2,TCFLef:back1b,41.120,11.645,478.859,9293.000
3,TCFLef:back1c,34.627,11.856,410.532,7967.000
4,TCFLef:Cntl,6663.885,154.991,1032845.215,20043960.000
5,TCFLef:Expt,5334.385,83.758,446796.417,8670776.000
6,pCIG:back2a,30.608,27.443,839.974,16301.000
7,pCIG:back2b,41.120,27.357,1124.930,21831.000
8,pCIG:back2c,34.627,27.821,963.386,18696.000
9,pCIG:Cntl,6663.885,245.018,1632769.485,31686419.000
10,pCIG:Expt,5334.385,204.114,1088824.311,21130321.000
