 ,Label,Area,Mean,IntDen,RawIntDen
1,TCFLef:back1a,69.100,14.539,1004.661,19497
2,TCFLef:back1b,51.838,14.665,760.207,14753
3,TCFLef:back1c,37.874,14.552,551.154,10696
4,TCFLef:Cntl,4869.490,595.530,2899928.811,56277607
5,TCFLef:Expt,3997.981,404.988,1619135.427,31421829
6,pCIG:back2a,69.100,26.715,1846.026,35825
7,pCIG:back2b,51.838,26.476,1372.475,26635
8,pCIG:back2c,37.874,26.925,1019.759,19790
9,pCIG:Cntl,4869.490,371.631,1809653.701,35119131
10,pCIG:Expt,3997.981,308.261,1232420.175,23917021
