 ,Label,Area,Mean,IntDen,RawIntDen
1,TCFLef:back1a,21.591,11.928,257.542,4998.000
2,TCFLef:back1b,38.956,11.935,464.946,9023.000
3,TCFLef:back1c,49.932,11.850,591.708,11483.000
4,TCFLef:Cntl,2804.208,216.990,608486.225,11808617.000
5,TCFLef:Expt,2534.608,245.460,622143.729,12073662.000
6,pCIG:back2a,21.591,28.403,613.247,11901.000
7,pCIG:back2b,38.956,28.093,1094.373,21238.000
8,pCIG:back2c,49.932,28.354,1415.759,27475.000
9,pCIG:Cntl,2804.208,305.943,857926.520,16649392.000
10,pCIG:Expt,2534.608,194.495,492968.359,9566814.000
