 ,Label,Area,Mean,IntDen,RawIntDen
1,TCFLef:back1a,70.646,14.205,1003.527,19475.000
2,TCFLef:back1b,87.496,13.813,1208.561,23454.000
3,TCFLef:back1c,56.579,13.719,776.233,15064.000
4,TCFLef:Cntl,4427.681,619.299,2742059.723,53213913.000
5,TCFLef:Expt,2648.488,331.177,877118.239,17021837.000
6,pCIG:back2a,70.646,26.619,1880.551,36495.000
7,pCIG:back2b,87.496,26.459,2315.095,44928.000
8,pCIG:back2c,56.579,26.309,1488.518,28887.000
9,pCIG:Cntl,4427.681,314.604,1392965.164,27032645.000
10,pCIG:Expt,2648.488,237.285,628446.344,12195974.000
