 ,Label,Area,Mean,IntDen,RawIntDen
1,TCFLef:back1a,23.806,11.333,269.806,5236.000
2,TCFLef:back1b,56.476,11.229,634.167,12307.000
3,TCFLef:back1c,41.738,11.486,479.426,9304.000
4,TCFLef:Cntl,10017.238,80.235,803733.162,15597686.000
5,TCFLef:Expt,9741.145,37.824,368445.232,7150250.000
6,pCIG:back2a,23.806,26.926,641.021,12440.000
7,pCIG:back2b,56.476,26.833,1515.416,29409.000
8,pCIG:back2c,41.738,27.002,1127.042,21872.000
9,pCIG:Cntl,10017.238,143.794,1440419.766,27953575.000
10,pCIG:Expt,9741.145,116.334,1133225.923,21992003.000
