 ,Label,Area,Mean,IntDen,RawIntDen
1,TCFLef:back1a,58.588,13.576,795.402,15436.000
2,TCFLef:back1b,66.163,13.597,899.593,17458.000
3,TCFLef:back1c,40.656,13.621,553.782,10747.000
4,TCFLef:Cntl,3883.174,283.885,1102374.274,21393279.000
5,TCFLef:Expt,3481.093,147.838,514636.252,9987313.000
6,pCIG:back2a,58.588,26.900,1576.014,30585.000
7,pCIG:back2b,66.163,26.825,1774.813,34443.000
8,pCIG:back2c,40.656,26.413,1073.864,20840.000
9,pCIG:Cntl,3883.174,188.904,733545.356,14235583.000
10,pCIG:Expt,3481.093,210.144,731529.387,14196460.000
